_Id,_UserId,_Name,_Date,_Class,_TagBased
1,1,Autobiographer,2012-02-08T19:49:42.747,3,False
3,4,Autobiographer,2012-02-08T19:49:42.747,3,False
4,5,Autobiographer,2012-02-08T19:49:42.747,3,False
5,6,Autobiographer,2012-02-08T19:59:41.533,3,False
6,9,Autobiographer,2012-02-08T20:04:41.713,3,False
7,11,Autobiographer,2012-02-08T20:04:41.713,3,False
8,16,Autobiographer,2012-02-08T20:09:41.553,3,False
9,17,Autobiographer,2012-02-08T20:09:41.553,3,False
10,18,Autobiographer,2012-02-08T20:09:41.553,3,False
11,22,Autobiographer,2012-02-08T20:09:41.553,3,False
12,23,Autobiographer,2012-02-08T20:09:41.553,3,False
13,24,Autobiographer,2012-02-08T20:09:41.553,3,False
14,25,Autobiographer,2012-02-08T20:09:41.553,3,False
15,27,Autobiographer,2012-02-08T20:09:41.553,3,False
16,28,Autobiographer,2012-02-08T20:09:41.553,3,False
17,6,Student,2012-02-08T20:09:42.083,3,False
18,23,Student,2012-02-08T20:09:42.083,3,False
19,6,Supporter,2012-02-08T20:09:42.113,3,False
20,8,Supporter,2012-02-08T20:09:42.113,3,False
21,23,Supporter,2012-02-08T20:09:42.113,3,False
22,23,Analytical,2012-02-08T20:14:41.500,3,False
23,32,Autobiographer,2012-02-08T20:14:41.500,3,False
24,33,Autobiographer,2012-02-08T20:14:41.500,3,False
25,11,Supporter,2012-02-08T20:14:41.937,3,False
26,28,Supporter,2012-02-08T20:14:41.937,3,False
27,12,Analytical,2012-02-08T20:19:57.903,3,False
28,12,Autobiographer,2012-02-08T20:19:57.920,3,False
29,34,Autobiographer,2012-02-08T20:19:57.920,3,False
30,6,Citizen Patrol,2012-02-08T20:19:57.967,3,False
31,6,Editor,2012-02-08T20:19:58.030,3,False
32,10,Student,2012-02-08T20:19:58.357,3,False
33,16,Student,2012-02-08T20:19:58.357,3,False
34,28,Student,2012-02-08T20:19:58.357,3,False
35,29,Student,2012-02-08T20:19:58.357,3,False
36,34,Supporter,2012-02-08T20:19:58.373,3,False
37,35,Autobiographer,2012-02-08T20:24:57.960,3,False
38,37,Autobiographer,2012-02-08T20:24:57.960,3,False
39,36,Supporter,2012-02-08T20:24:58.273,3,False
40,23,Teacher,2012-02-08T20:24:58.320,3,False
